Stock,Name,Count,Volume,Cost,Yesterday,First,LastTradePrice,LastTradeChange,LastTradePercent,AvgPrice,AvgChange,AvgPercent,LowestPrice,HighestPrice,EPS,PE,BuyCount,BuyVolume,BuyPrice,SellCount,SellVolume,SellPrice
كساپا,سايپاشيشه‌,659,2266552,83324114370,36320,36990,36880,560,1.54,36760,440,1.21,36030,37060,-243,-151.28,1,185,36810,36880,572,1
دسانكو,داروسازي سبحان انكولوژي,659,3402544,31823125710,9050,8870,9460,410,4.53,9350,300,3.31,8870,9520,435,21.49,3,14688,9450,9460,450,1
دلقما,دارويي‌ لقمان‌,659,7692523,26457063668,3408,3333,3470,62,1.82,3439,31,0.91,3333,3532,290,11.86,1,157,3470,3489,40000,1
كپشير,پشم‌شيشه‌ايران‌,656,4543225,53993912740,11360,11380,11920,560,4.93,11880,520,4.58,11380,11920,877,13.55,10,65329,11920,11980,555,1
كشرق,صنعتي و معدني شمال شرق شاهرود,654,314127,66495670800,198350,212000,212200,13850,6.98,211700,13350,6.73,200000,212200,2084,101.58,12,5262,212200,0,0,0
بكابل,سيم و كابل ابهر,647,1947523,58198573100,29450,29500,29700,250,0.85,29900,450,1.53,28600,30500,1855,16.12,1,169,29700,29900,1,1
ساينا,صنايع بهداشتي ساينا,645,968315,45392383050,45950,46950,46950,1000,2.18,46900,950,2.07,44700,47750,1515,30.96,2,1436,46950,47400,11120,3
شبصير,توليدات پتروشيمي قائد بصير,639,2046309,73081609200,35200,34150,36500,1300,3.69,35700,500,1.42,34150,36600,3870,9.22,1,5000,36400,36400,200,1
حتايد,تايدواترخاورميانه,633,11555115,81039149300,6910,7000,7050,140,2.03,7010,100,1.45,6910,7170,1014,6.91,1,11085,7050,7140,5000,1
ومعلم,بيمه معلم,632,17533061,45855678641,2559,2550,2610,51,1.99,2615,56,2.19,2480,2684,45,58.11,5,39997,2610,2650,98839,2
كطبس,ذغال‌سنگ‌ نگين‌ ط‌بس‌,632,14506479,345454652020,22310,23070,23870,1560,6.99,23810,1500,6.72,22550,23870,1976,12.05,150,5414736,23870,27000,205,1
شوينده,مديريت صنعت شوينده ت.ص.بهشهر,628,2276654,55445723830,23970,23240,24700,730,3.05,24350,380,1.59,23240,25190,1582,15.39,1,17443,24700,24880,5000,1
تپمپي,پمپ‌ سازي‌ ايران‌,626,1688186,57305909410,33890,33980,35170,1280,3.78,33950,60,0.18,33280,35300,2910,11.67,1,303,34560,35100,10000,1
پاكشو,گروه صنعتي پاكشو,625,7174608,49416409960,6710,6630,6870,160,2.38,6780,70,1.04,6620,7010,167,40.6,2,30423,6860,6870,741,1
تنوين,تامين سرمايه نوين,625,9125110,46389584597,5019,5000,5107,88,1.75,5079,60,1.2,5000,5150,758,6.7,1,2000,5070,5107,112107,2
پارسيان,بيمه پارسيان,623,9369273,41178736485,4244,4399,4444,200,4.71,4395,151,3.56,4267,4520,389,11.3,1,1981,4440,4496,9000,1
قمرو,قند مرودشت‌,620,3569135,35655687030,9770,10180,10220,450,4.61,9990,220,2.25,9810,10390,679,14.71,3,20726,10000,10220,318,1
هرمز,فولاد هرمزگان جنوب,609,3426989,34954279140,10210,10050,10270,60,0.59,10200,-10,-0.1,9960,10400,993,10.27,1,50000,10310,10400,9708,6
سصوفي,سيمان‌ صوفيان‌,609,2326186,73365672420,30990,31050,31730,740,2.39,31540,550,1.77,31040,31890,3685,8.56,2,22336,31700,31740,10194,2
تبرك,گروه كارخانجات صنعتي تبرك,604,3154213,45736166920,14220,14000,14600,380,2.67,14500,280,1.97,13950,14700,298,48.66,1,2905,14570,14670,5048,1
كحافظ,كاشي‌ وسراميك‌ حافظ‌,604,5501827,44472981520,7860,7580,8280,420,5.34,8080,220,2.8,7580,8280,783,10.32,1,2000,8230,8280,32379,1
شكام,صنايع شيميايي كيمياگران امروز,599,4031052,49631847330,12100,12300,12560,460,3.8,12310,210,1.74,11810,12650,1151,10.7,2,6000,12420,12570,79743,2
گنگين,اقتصادي نگين گردشگري ايرانيان,598,4722773,257550293250,53700,55150,55000,1300,2.42,54550,850,1.58,52100,55300,0,0,4,9408,55000,55200,7915,1
وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,596,519689,122682982230,224830,236070,236070,11240,5,236070,11240,5,236070,236070,1692,139.52,565,1168521,236070,0,0,0
شصدف,صنعتي دوده فام,587,424664,19948096050,46650,46400,47050,400,0.86,46950,300,0.64,45000,47900,3823,12.28,1,150,47050,47200,2192,3
سفاسي,شركت فارسيت اهواز,583,9214322,42210988830,4630,4610,4600,-30,-0.65,4580,-50,-1.08,4500,4740,-6,-763.33,1,100000,4580,4690,5000,1
زماهان,مجتمع توليد گوشت مرغ ماهان,583,7079254,70788653770,9410,9120,10060,650,6.91,10000,590,6.27,9120,10060,-468,-21.37,91,987173,10060,11380,2000,1
فنفت,صنايع تجهيزات نفت,582,2762163,75603211050,26700,26400,27500,800,3,27350,650,2.43,26400,27500,1280,21.37,200,2566490,27500,27900,1000,1
زگلدشت,كشت و دام گلدشت نمونه اصفهان,579,5138848,124386204600,22950,23500,24550,1600,6.97,24200,1250,5.45,22800,24550,948,25.53,25,122590,24550,0,0,0
قشهد,شهد,573,917909,20789065530,23190,23480,22540,-650,-2.8,22650,-540,-2.33,22150,23960,1554,14.58,1,7650,22490,22600,3861,2
فولاژ,فولاد آلياژي ايران,571,3925324,78198029680,18800,18600,19950,1150,6.12,19490,690,3.67,18600,20100,1725,11.3,1,503,19910,19980,7877,2
خچرخش,چرخشگر,571,1894480,51829100880,26730,25250,27830,1100,4.12,27360,630,2.36,25250,28240,1309,20.9,1,380,27740,27830,2217,1
گوهران,سرمايه گذاري توسعه گوهران اميد,560,1621008,9562356710,5860,5840,5920,60,1.02,5880,20,0.34,5830,6020,1031,5.7,2,14862,5860,5940,3000,3
ساربيل,سيمان آرتا اردبيل,557,817064,50001505770,61470,61460,60760,-710,-1.16,61200,-270,-0.44,60500,62340,7053,8.68,2,345,60700,61240,31000,2
واحيا,م .صنايع و معادن احياء سپاهان,553,6514419,152173831750,23750,23100,23050,-700,-2.95,23350,-400,-1.68,23050,23900,2359,9.9,1,2500,20500,23250,2429,2
غگرجي,بيسكويت‌  گرجي‌,552,10515011,25333362314,2368,2355,2400,32,1.35,2409,41,1.73,2355,2445,0,0,1,19535,2400,2415,116768,1
وآوا,سرمايه گذاري آوا نوين,550,6740493,28457041447,4044,3901,4290,246,6.08,4222,178,4.4,3901,4300,198,21.32,1,55959,4290,4300,22699,4
شزنگ,تجهيزنيروي‌زنگان‌,549,436094,53758081000,126700,122900,122900,-3800,-3,123250,-3450,-2.72,122900,126650,1899,64.9,0,0,0,122900,2993,3
حتوكا,حمل‌ونقل‌توكا,541,6248827,29169969747,4811,4700,4635,-176,-3.66,4668,-143,-2.97,4620,4800,232,20.12,2,397323,4635,4641,134073,2
سكارون,سيمان كارون,540,651369,44961247950,70850,72600,69050,-1800,-2.54,69050,-1800,-2.54,68750,72600,-591,-116.84,2,1250,69000,69100,300,1
شپارس,بين‌ المللي‌ محصولات‌  پارس‌,537,4426710,41333384300,8950,9100,9390,440,4.92,9340,390,4.36,8850,9390,408,22.89,1,4000,9380,9390,1049207,9
شتوكا,توكا رنگ فولاد سپاهان,537,1690697,38501897100,21550,22000,23050,1500,6.96,22750,1200,5.57,21350,23050,1092,20.83,14,114024,23050,23950,5000,1
دجابر,داروسازي‌ جابرابن‌حيان‌,535,2707361,51891348910,18240,17900,19260,1020,5.59,19170,930,5.1,17750,19510,1714,11.18,1,841,19260,19300,7169,3
پارسان,گسترش نفت و گاز پارسيان,535,1293028,52355788100,40450,40530,40400,-50,-0.12,40470,20,0.05,40170,41590,2611,15.5,1,125,40320,40470,1000,1
فافزا,فولاد افزا سپاهان,535,1472326,82184219400,55450,53800,57100,1650,2.98,55800,350,0.63,53800,57100,5128,10.88,4,23040,57100,64300,200,1
حگردش,ريل گردش ايرانيان,531,19207888,76069270515,3849,3914,3964,115,2.99,3960,111,2.88,3850,3964,131,30.23,9,321284,3964,4360,80000,1
بالبر,كابل‌ البرز,530,520678,18483692480,36610,36000,35430,-1180,-3.22,35500,-1110,-3.03,35010,36000,453,78.37,1,148,35410,35450,23418,1
بپاس,بيمه پاسارگاد,529,2435024,53716647800,21650,21800,22250,600,2.77,21850,200,0.92,21500,22350,572,38.2,2,47465,21900,22250,162069,10
وتوسم,سرمايه‌گذاري‌توسعه‌ملي‌,528,5277441,31768347340,5950,6080,5990,40,0.67,6020,70,1.18,5930,6190,1223,4.92,3,49990,5970,6050,11000,1
كگهر,سنگ آهن گهرزمين,528,625627,31278249250,50650,49750,49900,-750,-1.48,50450,-200,-0.39,49750,51050,4648,10.85,22,28028,49850,50100,5900,1
وسرمد,بيمه  سرمد,527,22381686,47619295938,2158,2094,2141,-17,-0.79,2128,-30,-1.39,2094,2200,46,46.26,1,30000,2116,2141,32289,4
سمايه,بانك سرمايه,526,8867493,52047587840,5870,5700,5950,80,1.36,5870,0,0,5700,6030,-20090,-0.29,4,60184,5870,5950,7537,1
غصينو,صنعتي مينو,519,1754917,29625378050,16730,16980,16880,150,0.9,16880,150,0.9,16680,17170,1158,14.58,1,2366,16870,16980,500,1
شصفها,پتروشيمي‌ اصفهان‌,519,518040,106079775800,207750,207000,204100,-3650,-1.76,204750,-3000,-1.44,203600,210000,6155,33.27,1,300,204100,204500,14915,1
بفجر,فجر انرژي خليج فارس,518,2421073,60313920160,25150,24810,24900,-250,-0.99,25000,-150,-0.6,24710,25380,3322,7.53,1,2000,24880,24900,19874,2
سمازن,سيمان‌مازندران‌,516,3121207,65583319180,21070,21400,21100,30,0.14,21010,-60,-0.28,20600,21400,3123,6.73,2,780,21100,21150,21000,2
غبهنوش,بهنوش‌ ايران‌,511,415435,33710896380,81140,80230,81800,660,0.81,81150,10,0.01,77600,83560,2504,32.41,1,300,80530,81800,868,1
ثباغ,شهر سازي و خانه سازي باغميشه,510,4010522,77246033870,18810,19580,19220,410,2.18,19260,450,2.39,18300,19600,0,0,2,15628,19130,19220,4223,1
مفاخر,توسعه فناوري اطلاعات خوارزمي,510,4042639,54584562150,12730,12630,13620,890,6.99,13500,770,6.05,12530,13620,81,166.67,38,439821,13620,14200,7100,1
سنير,سيمان‌ سفيد ني‌ريز,504,665424,35692658380,55060,54970,52500,-2560,-4.65,53640,-1420,-2.58,52230,54970,2839,18.89,1,100,52480,52480,8999,1
شخارك,پتروشيمي‌ خارك‌,492,757674,51619826520,66600,67760,67400,800,1.2,67370,770,1.16,66150,70410,6412,10.51,2,1686,67400,67510,1065,2
وپسا,س. پتروشيمي ساختمان  خليج فارس,490,20038430,46950509944,2280,2231,2348,68,2.98,2343,63,2.76,2231,2348,31,75.58,37,6875753,2348,2477,10000,1
خبازرس,بازرسي مهندسي و صنعتي ايران,486,2271083,57575859100,25100,25500,24850,-250,-1,25350,250,1,24350,25850,888,28.55,1,17050,24750,24900,30571,3
سيلام,سيمان‌ ايلام‌,486,2458866,63460500320,24620,24750,25850,1230,5,25810,1190,4.83,24750,25850,966,26.72,0,0,0,0,0,0
حسينا,توسعه خدمات دريايي وبندري سينا,479,4067783,77092924520,18460,19070,19400,940,5.09,18950,490,2.65,18350,19490,2013,9.41,1,300,19120,19380,1784,1
غبهار,كشت وصنعت بهاران گلبهار خراسان,476,3125785,67225577250,21800,21850,22350,550,2.52,21500,-300,-1.38,21150,22400,1481,14.52,2,4600,22050,22350,1679,2
سغدير,توسعه سرمايه و صنعت غدير,475,1076115,10277541750,9600,9750,9660,60,0.63,9580,-20,-0.21,9330,10040,1109,8.64,1,4450,9660,9810,1182,2
اميد,تامين سرمايه اميد,475,4652746,29813721360,6280,6210,6400,120,1.91,6380,100,1.59,6200,6550,457,13.96,1,10000,6390,6400,129234,1
دتماد,توليدمواداوليه‌داروپخش‌,475,797038,46083108680,55610,53500,57800,2190,3.94,57820,2210,3.97,53500,59500,6542,8.84,1,1364,57800,58000,100,1
كقزوي,شيشه‌ قزوين‌,472,3225869,98027209450,31100,31350,30300,-800,-2.57,30400,-700,-2.25,30200,31350,3372,9.02,5,42827,30200,30300,4458,1
زشريف,كشت وصنعت شريف آباد,470,3237450,20213984850,6060,6070,6260,200,3.3,6240,180,2.97,6050,6400,542,11.51,1,3000,6200,6260,16143,2
شگل,گلتاش‌,469,2559801,20575177090,8020,7800,8020,0,0,8040,20,0.25,7640,8300,520,15.46,1,45,7980,8050,11500,2
دعبيد,لابراتوارداروسازي‌  دكترعبيدي‌,466,1676314,42819954130,25840,26170,25630,-210,-0.81,25720,-120,-0.46,25140,26170,1375,18.71,1,315,25620,25630,500,1
دفارا,داروسازي‌ فارابي‌,466,2072967,71442281730,34100,34000,34880,780,2.29,34460,360,1.06,33600,35170,2527,13.64,1,77900,34880,34920,11400,2
شكلر,نيروكلر,465,1456743,60863317830,42310,40450,41590,-720,-1.7,41780,-530,-1.25,40450,42700,4399,9.5,1,6685,41560,41590,1271,1
ثتران,سرمايه گذاري مسكن تهران,464,8112885,51783435590,6110,6340,6410,300,4.91,6380,270,4.42,6140,6410,119,53.61,59,1073818,6410,6520,2000,1
پاسا,ايران‌ياساتايرورابر,462,1991369,26641288590,13440,13250,13330,-110,-0.82,13380,-60,-0.45,13000,13770,1360,9.84,1,8759,13330,13540,1000,1
داوه,داروسازي آوه سينا,456,1944221,23862191240,12020,11840,12400,380,3.16,12270,250,2.08,11840,12400,425,28.87,2,109678,12290,12400,149107,4
شرانل,نفت ايرانول,452,244700,22370205300,90550,94850,92000,1450,1.6,90800,250,0.28,90250,94900,9818,9.25,1,100,91750,92000,6877,1
غپآذر,شير پگاه آذربايجان شرقي,443,990216,41826927600,42050,42000,42700,650,1.55,42250,200,0.48,41500,43250,3027,13.96,4,9518,42650,42950,61630,1
حپارسا,توسعه حمل و نقل ريلي پارسيان,438,412226,32752753750,81600,79200,80950,-650,-0.8,79450,-2150,-2.63,77000,81500,7118,11.16,1,767,79300,81000,11000,1
فروسيل,فروسيليسيم خمين,434,2023178,40043205700,19900,19350,19950,50,0.25,19800,-100,-0.5,19200,20000,1150,17.22,1,1000,19700,19900,15000,3
وسبحان,سرمايه گذاري سبحان,434,9611312,27378343928,2808,2850,2847,39,1.39,2849,41,1.46,2805,2919,649,4.39,1,3000,2849,2885,5555,1
وپترو,سرمايه‌گذاري صنايع پتروشيمي‌,434,1514580,42975693340,27520,28300,28700,1180,4.29,28370,850,3.09,27680,28750,3609,7.86,1,349,28620,28700,962,1
ثنظام,س. ساختماني نظام مهندسي ايران,428,984621,48770340750,50950,50450,49450,-1500,-2.94,49550,-1400,-2.75,49450,51450,-360,-137.64,1,1100,48550,49450,51100,2
بشهاب,لامپ‌  پارس‌ شهاب‌,425,1287766,30907307840,23220,23470,24380,1160,5,24000,780,3.36,23200,24380,1353,17.74,33,432564,24380,24600,5000,1
لبوتان,گروه‌صنعتي‌بوتان‌,425,1690864,25478674400,14760,15300,15260,500,3.39,15070,310,2.1,14630,15300,683,22.06,1,23385,15190,15260,4845,2
فوكا,فولاد كاويان,423,4683453,67735718930,14060,14420,14480,420,2.99,14460,400,2.84,14200,14480,751,19.25,9,1147656,14480,14540,200000,1
كايزد,فرانسوز يزد,422,1900168,21233305180,11160,11260,11130,-30,-0.27,11170,10,0.09,11000,11410,374,29.87,1,700,11130,11180,70765,3
بخاور,بيمه زندگي خاورميانه,421,3852632,17440188108,4324,4500,4548,224,5.18,4527,203,4.69,4110,4585,367,12.34,1,7487,4531,4548,102990,1
غشصفا,شيرپاستوريزه‌پگاه‌اصفهان‌,417,3575600,72883380770,19070,20400,20400,1330,6.97,20380,1310,6.87,20100,20400,1805,11.29,52,387027,20400,0,0,0
چافست,افست‌,416,4297801,35594128900,7990,7860,8230,240,3,8280,290,3.63,7800,8380,607,13.64,3,17975,8200,8200,28027,1
فخاس,فولاد خراسان,415,1002405,15286504200,15220,15220,15240,20,0.13,15220,0,0,15140,15440,1083,14.05,1,800,15210,15240,82132,1
اعتلا,شركت سرمايه گذاري اعتلاء البرز,414,6314531,27808706080,4244,4399,4424,180,4.24,4404,160,3.77,4329,4455,977,4.51,1,1620,4421,4430,19237,1
كفرا,فراورده‌ هاي‌ نسوزايران‌,413,2905186,33797798520,11220,10850,11780,560,4.99,11630,410,3.65,10850,11780,664,17.52,1,3707,11760,11780,23487,2
حخزر,كشتيراني درياي خزر,413,1436520,73508184100,51500,52350,50850,-650,-1.26,51150,-350,-0.68,49950,52400,2497,20.48,1,6400,50850,51350,50,1
سكرد,سيمان كردستان,411,1946513,19927539690,10000,9940,10250,250,2.5,10240,240,2.4,9930,10400,503,20.36,3,200584,10230,10290,329,1
نمرينو,ايران‌ مرينوس‌,405,275027,16684750290,63850,60720,60660,-3190,-5,60670,-3180,-4.98,60660,61900,476,127.46,0,0,0,60660,384595,43
شرنگي,شيميايي رنگين,405,921477,39620670900,42150,41300,43350,1200,2.85,43000,850,2.02,41300,43400,1164,36.94,1,13942,43300,43350,640,1
سخوز,سيمان خوزستان,401,1803305,104699888300,54270,58060,58060,3790,6.98,58060,3790,6.98,58060,58060,7190,8.08,113,204295,58060,58820,1000,1
وثوق,سرمايه گذاري وثوق امين,401,2474255,56151121050,22100,21550,22750,650,2.94,22700,600,2.71,21550,22750,254,89.37,19,317854,22750,24500,10719,1
تكشا,گسترش‌صنايع‌وخدمات‌كشاورزي‌,400,768162,34505791940,43410,45460,44770,1360,3.13,44920,1510,3.48,44000,45460,783,57.37,1,1000,44370,44760,27992,1
اتكاي,بيمه اتكايي ايرانيان,398,2828610,21609312970,7360,7150,7720,360,4.89,7640,280,3.8,7150,7720,907,8.42,1,6844,7690,7720,1512,2
فاما,صنعتي‌ آما,398,1655667,24991976170,15100,14210,15090,-10,-0.07,15090,-10,-0.07,14200,15850,1188,12.7,2,7903,15010,15100,7714,2
نيرو,نيرو سرمايه,398,795092,49868327900,61700,63000,61900,200,0.32,62700,1000,1.62,60250,63550,97,646.39,2,9257,61900,61950,416,1
سشمال,سيمان‌ شمال‌,396,1330595,21914618950,15570,16120,16630,1060,6.81,16470,900,5.78,15860,16650,2232,7.38,2,11500,16510,16640,23615,1
حپترو,حمل و نقل پتروشيمي( سهامي عام,394,1328708,62647571320,45020,46010,47270,2250,5,47150,2130,4.73,45050,47270,3237,14.57,38,310667,47270,48000,116,1
خمحور,توليدمحورخودرو,393,11979646,73541061970,5880,6120,6170,290,4.93,6140,260,4.42,5960,6170,167,36.77,93,5608913,6170,6300,2355,1
حاريا,كشتيراني آريا,388,4729063,33005738580,6880,7010,6870,-10,-0.15,6980,100,1.45,6810,7010,71,98.31,1,6123,6860,6940,1453,1
فايرا,آلومينيوم‌ايران‌,388,3399918,31506664800,9100,9290,9330,230,2.53,9140,40,0.44,9170,9390,732,12.49,1,3000,9330,9390,320,1
قهكمت,قندهكمتان‌,385,2445117,27721468100,10870,11000,11410,540,4.97,11340,470,4.32,11000,11410,912,12.43,1,500,11390,0,0,0
فلات,گروه صنايع معادن فلات ايرانيان,381,2214784,86746329350,38450,39600,39600,1150,2.99,39150,700,1.82,37300,39600,1174,33.35,2,33050,39600,0,0,0
چخزر,صنايع چوب خزر كاسپين,377,489087,37904242500,72450,77500,77500,5050,6.97,77500,5050,6.97,77500,77500,3216,24.1,70,366442,77500,0,0,0
اتكام,بيمه اتكايي امين,375,10122505,61684892140,5830,5940,6120,290,4.97,6090,260,4.46,5720,6120,746,8.16,71,12452645,6120,6260,3097,2
دسبحا,گروه دارويي سبحان,373,3029942,35874080740,11500,11500,11800,300,2.61,11840,340,2.96,11430,12120,572,20.7,1,2000,11700,11800,139545,2
وآرين,شركت توسعه اقتصادي آرين,369,15965315,31958402405,1948,2000,2006,58,2.98,2002,54,2.77,1950,2006,93,21.53,131,19361155,2006,2047,43830,2
شدوص,دوده‌ صنعتي‌ پارس‌,366,1444943,26002754310,17670,17810,18100,430,2.43,18000,330,1.87,17220,18260,1927,9.34,2,1388,17930,18150,3612,2
شجم,صنايع پتروشيمي تخت جمشيد,364,2845596,27884769040,9360,9370,9820,460,4.91,9800,440,4.7,9370,9820,547,17.92,1,550,9810,9820,24662,1
درازي,پخش رازي,362,642942,18499545800,28900,27800,28600,-300,-1.04,28750,-150,-0.52,27700,29450,2729,10.53,1,3335,28600,28750,9901,1
فاهواز,نورد و لوله اهواز,360,14919624,73802225755,4900,4949,4947,47,0.96,4947,47,0.96,4852,4949,-203,-24.37,3,135472,4903,4949,20000,1
پارتا,مجتمع صنعتي آرتاويل تاير,358,3766448,37553669700,9800,10250,10050,250,2.55,9970,170,1.73,9770,10250,453,22.01,1,10023,9950,10100,13415,2
فروس,فروسيليس‌ ايران‌,358,2596003,23161444290,8700,8840,8970,270,3.1,8920,220,2.53,8560,9070,1023,8.72,1,1023,8900,8970,83,1
وسكاب,س.ص.بازنشستگي كاركنان بانكها,356,4579143,17313024171,3720,3700,3795,75,2.02,3778,58,1.56,3700,3829,817,4.62,1,70000,3764,3795,82318,1
ويسا,سرمايه گذاري ايساتيس پويا,355,2839226,28039145760,10020,10000,9720,-300,-2.99,9880,-140,-1.4,9720,10200,462,21.39,0,0,0,9720,557348,27
قپيرا,فرآورده‌هاي‌غدايي‌وقندپيرانشهر,354,1608632,27083945660,15910,14800,17020,1110,6.98,16840,930,5.85,14800,17020,350,48.11,32,306743,17020,0,0,0
دروز,داروسازي‌ روزدارو,354,636723,15568422670,23520,22950,24690,1170,4.97,24450,930,3.95,22950,24690,529,46.22,28,85926,24690,26740,189,1
ثجوان,تامين مسكن جوانان,352,2985352,35892619530,11870,12210,12020,150,1.26,12020,150,1.26,11520,12220,68,176.76,2,169138,11980,12220,48311,7
وبوعلي,سرمايه‌گذاري‌بوعلي‌,351,3578826,14759198135,4055,4002,4155,100,2.47,4121,66,1.63,4002,4165,740,5.57,2,4331,4150,4155,39361,1
كتوكا,توليدي و خدمات صنايع نسوز توكا,349,3438392,42292221600,13220,12300,12300,-920,-6.96,12300,-920,-6.96,12300,12300,388,31.7,0,0,0,12300,15889089,670
شپاس,نفت پاسارگاد,342,921488,30599736700,32500,32600,33500,1000,3.08,33200,700,2.15,32600,33850,3647,9.1,1,1500,33300,33450,4379,1
ساروم,سيمان‌اروميه‌,342,576857,25223684800,41780,42000,44400,2620,6.27,43730,1950,4.67,42000,44480,5543,7.89,1,200,43660,44400,9280,2
غنيلي,مجتمع توليدي نيلي صنعت كرمان,332,5015725,31898574730,6630,6420,6400,-230,-3.47,6360,-270,-4.07,6300,6730,-52,-122.31,1,928,6420,6590,29500,1
فلامي,لاميران‌,329,1100424,11467197570,10280,10210,10460,180,1.75,10400,120,1.17,10150,10670,803,12.95,2,17020,10450,10470,4200,2
دكپسول,توليد ژلاتين كپسول ايران,329,496220,36889160800,73850,73850,74800,950,1.29,74350,500,0.68,73250,75450,9207,8.08,2,550,74400,74800,176,1
غشاذر,پگاه‌آذربايجان‌غربي‌,328,5117112,50095389570,9150,9790,9790,640,6.99,9790,640,6.99,9230,9790,524,18.68,51,2455773,9790,0,0,0
قشرين,قند شيرين خراسان,326,4780442,49897908830,10140,10400,10440,300,2.96,10440,300,2.96,10110,10440,49,213.06,11,902682,10440,0,0,0
ولملت,واسپاري ملت,324,3327468,20570826430,5990,6200,6140,150,2.5,6180,190,3.17,6040,6260,672,9.2,1,897,6130,6150,10463,4
دسينا,داروسازي‌ سينا,322,1438215,24308159890,16500,16700,16990,490,2.97,16900,400,2.42,16310,17310,1315,12.85,1,4500,16860,17000,165689,2
مبين,مبين انرژي خليج فارس,318,981927,38549280810,39270,39400,39100,-170,-0.43,39270,0,0,38620,39700,4848,8.1,9,11490,39050,39100,942,1
جم,پتروشيمي جم,316,855321,53765713270,62380,65000,63480,1100,1.76,62620,240,0.38,62000,65000,4822,12.99,1,2000,63020,63480,11923,1
وفتخار,سرمايه گذاري افتخار سهام,314,10809035,34429464945,3094,3184,3186,92,2.97,3185,91,2.94,3151,3186,143,22.27,7,222140,3186,3214,14014,1
وآفري,بيمه كارآفرين,307,13569779,51303476263,3691,3801,3795,104,2.82,3781,90,2.44,3637,3801,305,12.4,1,52426,3801,4195,12660,1
سپ,پرداخت الكترونيك سامان كيش,306,575391,10151229860,17790,18430,17750,-40,-0.22,17770,-20,-0.11,17400,18430,234,75.94,1,1000,17510,17760,2600,1
افق,فروشگاههاي زنجيره اي افق كوروش,302,1129593,22952656190,20220,20760,20230,10,0.05,20240,20,0.1,20130,20760,1200,16.87,4,21190,20170,20230,9727,1
پلاست,كارخانجات توليدي پلاستيران,301,3151675,40310022580,12440,12350,12800,360,2.89,12790,350,2.81,12350,12810,1291,9.91,1,22218,12780,12800,26986,1
بسويچ,پارس‌سويچ‌,299,1631708,13194028960,8070,7810,8150,80,0.99,8080,10,0.12,7810,8210,523,15.45,1,403,8140,8170,100000,1
وحكمت,بيمه حكمت صبا,295,7738140,27652576106,3480,3385,3545,65,1.87,3574,94,2.7,3385,3584,197,18.14,1,17717,3545,3584,107000,3
وكادو,تكادو,289,2648705,76667348100,28200,27700,29000,800,2.84,28950,750,2.66,27600,29000,1908,15.17,13,1063280,29000,29750,44000,2
كازرو,پتروشيمي كازرون,286,2876359,62127729750,21100,20950,21700,600,2.84,21600,500,2.37,20550,21700,-43,-502.33,2,41977,21600,23200,5000,1
سقاين,سيمان‌ قائن‌,285,117999,7918439010,69020,69850,67120,-1900,-2.75,67930,-1090,-1.58,66150,69850,5953,11.41,4,3331,66900,67120,496,1
سنوين,سرمايه گذاري اقتصاد نوين,282,4668495,36902769970,7700,7880,7930,230,2.99,7900,200,2.6,7720,7930,796,9.92,3,64000,7920,8520,593,1
كپرور,فرآوري زغال سنگ پروده طبس,281,2388323,35889360650,14520,14600,15130,610,4.2,15030,510,3.51,14250,15240,1204,12.48,1,3000,15110,15240,46590,1
غپاك,لبنيات‌ پاك‌,279,4008617,85704231460,20370,21380,21380,1010,4.96,21380,1010,4.96,21380,21380,47,454.89,54,640842,21380,0,0,0
سفانو,سيمان فارس نو,275,210937,18142330120,86030,89000,87500,1470,1.71,86010,-20,-0.02,85020,89000,11705,7.35,1,2023,86030,87500,2393,1
مارون,پتروشيمي مارون,274,64110,12378382850,192350,188000,191450,-900,-0.47,192450,100,0.05,188000,196400,13630,14.12,10,860,191150,192450,8873,5
لابسا,آبسال‌,273,2736142,26286248540,9180,9270,9630,450,4.9,9610,430,4.68,9270,9630,319,30.13,78,2884202,9630,9630,2020,1
نتوس,پشم‌ بافي‌ توس,269,3617098,38674513420,10620,10310,10930,310,2.92,10690,70,0.66,10310,10930,41,260.73,24,484337,10930,11210,1493,1
دالبر,البرزدارو,268,1687149,15923528930,9110,9660,9390,280,3.07,9320,210,2.31,9240,9660,1082,8.61,1,351,9370,9410,537,1
خراسان,پتروشيمي خراسان,268,112587,20012271700,173310,173010,177400,4090,2.36,174190,880,0.51,173010,179970,27639,6.3,2,505,176830,177440,5289,2
سهرمز,سيمان‌هرمزگان‌,265,2004234,46567213020,22270,22600,23200,930,4.18,23230,960,4.31,21900,23380,2102,11.05,1,4380,23200,23220,1548,1
وثنو,سرمايه گذاري ساختماني نوين,259,13066344,50245644594,3734,3846,3846,112,3,3845,111,2.97,3744,3846,436,8.82,43,3525685,3846,0,0,0
كارام,صنايع سرام آرا,257,1103695,30958644750,27250,28050,28050,800,2.94,28050,800,2.94,28050,28050,-1791,-15.66,476,4101770,28050,0,0,0
وامين,س. امين توان آفرين ساز,256,1816042,26574991200,14610,14200,14690,80,0.55,14620,10,0.07,14200,14960,86,170,1,17710,14580,14870,3210,2
خصدرا,صنعتي‌ دريايي‌ ايران‌,255,10582178,32212149832,3138,3044,3044,-94,-3,3044,-94,-3,3044,3044,92,33.09,1,25000,2355,3044,97807255,979
