Stock,Name,Count,Volume,Cost,Yesterday,First,LastTradePrice,LastTradeChange,LastTradePercent,AvgPrice,AvgChange,AvgPercent,LowestPrice,HighestPrice,EPS,PE,BuyCount,BuyVolume,BuyPrice,SellCount,SellVolume,SellPrice
غچين,كشت‌ و صنعت‌ چين‌ چين,768,5927698,37346025960,6310,6100,6420,110,1.74,6300,-10,-0.16,6000,6420,408,15.44,3,22716,6400,6430,16569,2
كيمياتك,آريان كيميا تك,761,2253576,36066200010,16010,16290,15990,-20,-0.12,16000,-10,-0.06,15850,16290,1535,10.42,2,3146,15980,16000,441,3
كخاك,صنايع‌خاك‌چيني‌ايران‌,759,2556978,49959897490,19560,19420,19630,70,0.36,19540,-20,-0.1,19350,20120,1833,10.66,1,5500,19520,19560,20000,1
ماديرا,صنايع ماديران,753,23198536,121006490210,4990,5100,5230,240,4.81,5220,230,4.61,5050,5230,133,39.25,422,30045354,5230,5270,11000,2
زپارس,ملي كشت و صنعت و دامپروري پارس,752,999380,55766995340,53640,51100,56210,2570,4.79,55800,2160,4.03,51100,56320,1288,43.32,1,583,56210,0,0,0
فرآور,فرآوري‌موادمعدني‌ايران‌,749,1527584,65525813680,41860,42200,42990,1130,2.7,42900,1040,2.48,41810,43510,1800,23.83,2,2892,42880,43050,3350,2
خبنيان,بنيان ديزل,742,16784040,125195495630,7260,7390,7470,210,2.89,7460,200,2.75,7320,7470,29,257.24,97,2653295,7470,7700,7000,1
لخزر,پارس‌ خزر,740,2618216,47425322590,17900,17720,18250,350,1.96,18110,210,1.17,17560,18570,1540,11.76,1,4370,18240,18300,7001,3
حبندر,دريايي و کشتيراني خط دريابندر,739,4620699,75543617110,16400,15910,16610,210,1.28,16350,-50,-0.3,15910,16790,209,78.23,1,1445,16570,16610,11571,2
والبر,سرمايه‌ گذاري‌ البرز(هلدينگ‌,736,6336190,47471859120,7350,7540,7480,130,1.77,7490,140,1.9,7390,7640,623,12.02,1,1000,7470,7480,3952,1
